population,loc,region_col,region_let,my_big_region,family,individual,field_code,x_coord,y_coord,xy_coord,block,prev_damage,curr_damage,total_damage
AB,Abernethy,blue,D,B,AB10,AB10_4,7161,6,1,"6,1",1,12,1,13
AB,Abernethy,blue,D,B,AB1,AB1_30,7293,10,5,"10,5",1,46,0,46
AB,Abernethy,blue,D,B,AB3,AB3_4,7450,15,2,"15,2",1,4,2,6
AB,Abernethy,blue,D,B,AB2,AB2_11,7451,15,3,"15,3",1,8,1,9
AB,Abernethy,blue,D,B,AB5,AB5_19,7516,17,4,"17,4",1,21,0,21
AB,Abernethy,blue,D,B,AB6,AB6_30,7577,19,1,"19,1",1,9,0,9
AB,Abernethy,blue,D,B,AB9,AB9_1,7579,19,3,"19,3",1,0,0,0
AB,Abernethy,blue,D,B,AB4,AB4_19,7583,19,7,"19,7",1,19,0,19
AB,Abernethy,blue,D,B,AB4,AB4_12,7046,23,6,"23,6",2,5,0,5
AB,Abernethy,blue,D,B,AB1,AB1_27,7109,25,5,"25,5",2,0,7,7
AB,Abernethy,blue,D,B,AB6,AB6_20,7170,27,2,"27,2",2,0,0,0
AB,Abernethy,blue,D,B,AB2,AB2_19,7240,29,8,"29,8",2,2,0,2
AB,Abernethy,blue,D,B,AB3,AB3_23,7398,34,6,"34,6",2,6,0,6
AB,Abernethy,blue,D,B,AB9,AB9_11,7432,35,8,"35,8",2,16,0,16
AB,Abernethy,blue,D,B,AB10,AB10_12,7458,36,2,"36,2",2,0,0,0
AB,Abernethy,blue,D,B,AB5,AB5_27,7621,41,5,"41,5",2,1,0,1
AB,Abernethy,blue,D,B,AB6,AB6_18,7023,43,7,"43,7",3,0,9,9
AB,Abernethy,blue,D,B,AB5,AB5_4,7119,46,7,"46,7",3,0,0,0
AB,Abernethy,blue,D,B,AB9,AB9_4,7306,52,2,"52,2",3,1,1,2
AB,Abernethy,blue,D,B,AB4,AB4_4,7438,56,6,"56,6",3,0,24,24
AB,Abernethy,blue,D,B,AB10,AB10_1,7433,56,1,"56,1",3,10,13,23
AB,Abernethy,blue,D,B,AB3,AB3_18,7536,59,8,"59,8",3,10,10,20
AB,Abernethy,blue,D,B,AB1,AB1_23,7561,60,1,"60,1",3,0,0,0
AB,Abernethy,blue,D,B,AB2,AB2_4,7659,63,3,"63,3",3,7,19,26
AB,Abernethy,blue,D,B,AB6,AB6_11,7159,68,7,"68,7",4,3,0,3
AB,Abernethy,blue,D,B,AB5,AB5_18,7185,69,1,"69,1",4,32,0,32
AB,Abernethy,blue,D,B,AB2,AB2_18,7256,71,8,"71,8",4,10,0,10
AB,Abernethy,blue,D,B,AB3,AB3_1,7350,74,6,"74,6",4,0,0,0
AB,Abernethy,blue,D,B,AB10,AB10_27,7410,76,2,"76,2",4,0,0,0
AB,Abernethy,blue,D,B,AB4,AB4_11,7446,77,6,"77,6",4,3,0,3
AB,Abernethy,blue,D,B,AB9,AB9_18,7512,79,8,"79,8",4,0,0,0
AB,Abernethy,blue,D,B,AB1,AB1_19,7569,81,1,"81,1",4,0,0,0
AC,Allt Cul,brown,E,B,AC9,AC9_4,7099,4,3,"4,3",1,2,0,2
AC,Allt Cul,brown,E,B,AC3,AC3_27,7162,6,2,"6,2",1,7,7,14
AC,Allt Cul,brown,E,B,AC1,AC1_23,7230,8,6,"8,6",1,34,2,36
AC,Allt Cul,brown,E,B,AC2,AC2_11,7291,10,3,"10,3",1,3,0,3
AC,Allt Cul,brown,E,B,AC5,AC5_19,7392,13,8,"13,8",1,0,2,2
AC,Allt Cul,brown,E,B,AC8,AC8_19,7453,15,5,"15,5",1,3,0,3
AC,Allt Cul,brown,E,B,AC6,AC6_1,7517,17,5,"17,5",1,19,0,19
AC,Allt Cul,brown,E,B,AC7,AC7_12,7611,20,3,"20,3",1,31,0,31
AC,Allt Cul,brown,E,B,AC9,AC9_11,7142,26,6,"26,6",2,0,0,0
AC,Allt Cul,brown,E,B,AC8,AC8_20,7174,27,6,"27,6",2,7,0,7
AC,Allt Cul,brown,E,B,AC5,AC5_1,7336,32,8,"32,8",2,3,1,4
AC,Allt Cul,brown,E,B,AC6,AC6_11,7331,32,3,"32,3",2,1,0,1
AC,Allt Cul,brown,E,B,AC1,AC1_12,7329,32,1,"32,1",2,6,0,6
AC,Allt Cul,brown,E,B,AC2,AC2_4,7464,36,8,"36,8",2,2,1,3
AC,Allt Cul,brown,E,B,AC7,AC7_20,7592,40,8,"40,8",2,12,0,12
AC,Allt Cul,brown,E,B,AC3,AC3_18,7591,40,7,"40,7",2,1,0,1
AC,Allt Cul,brown,E,B,AC1,AC1_27,7050,44,2,"44,2",3,4,0,4
AC,Allt Cul,brown,E,B,AC2,AC2_18,7049,44,1,"44,1",3,0,0,0
AC,Allt Cul,brown,E,B,AC8,AC8_18,7184,48,8,"48,8",3,1,4,5
AC,Allt Cul,brown,E,B,AC3,AC3_12,7374,54,6,"54,6",3,10,0,10
AC,Allt Cul,brown,E,B,AC7,AC7_19,7439,56,7,"56,7",3,7,5,12
AC,Allt Cul,brown,E,B,AC5,AC5_23,7503,58,7,"58,7",3,0,1,1
AC,Allt Cul,brown,E,B,AC6,AC6_27,7626,62,2,"62,2",3,4,3,7
AC,Allt Cul,brown,E,B,AC9,AC9_27,7660,63,4,"63,4",3,54,22,76
AC,Allt Cul,brown,E,B,AC7,AC7_11,7032,64,8,"64,8",4,2,13,15
AC,Allt Cul,brown,E,B,AC6,AC6_18,7314,73,2,"73,2",4,4,0,4
AC,Allt Cul,brown,E,B,AC1,AC1_18,7351,74,7,"74,7",4,1,0,1
AC,Allt Cul,brown,E,B,AC9,AC9_30,7346,74,2,"74,2",4,0,0,0
AC,Allt Cul,brown,E,B,AC2,AC2_30,7474,78,2,"78,2",4,6,0,6
AC,Allt Cul,brown,E,B,AC5,AC5_20,7505,79,1,"79,1",4,0,0,0
AC,Allt Cul,brown,E,B,AC3,AC3_4,7508,79,4,"79,4",4,0,0,0
