name,seed_zone,geog_zone,site_code,big_region,dec_latitude,dec_longitude,site_area_ha,gsl,growing_deg_days_c,feb_mean_temp_c,jul_mean_temp_c
Glen Einig,N,1,GE,A,57.96,-4.76,27,242,1089,2.19,13.15
Rhidorroch,N,1,RD,A,57.89,-4.98,103,221,840,1.51,11.62
Strath Oykel,N,1,SO,A,57.98,-4.61,14,257,1276,2.69,14.05
Beinn Eighe,NW,2,BE,A,57.63,-5.4,182,283,1329,3.68,14.16
Loch Clair,NW,2,LC,A,57.56,-5.36,126,277,1253,3.44,13.68
Shieldaig,NW,2,SD,A,57.5,-5.63,103,273,1093,3.21,12.83
Amat,NC,1,AM,A,57.87,-4.6,181,214,892,1.22,12.29
Glen Affrich,NC,3,GA,A,57.26,-4.92,1532,210,769,0.88,11.62
Glen Cannich,NC,3,GC,A,57.35,-4.95,301,212,778,0.96,11.71
Abernethy,EC,4,AB,B,57.21,-3.61,2452,211,990,1.15,12.73
Glen Derry,EC,4,GD,B,57.03,-3.58,235,168,593,-0.46,11.34
Rothiemurchus,EC,4,RM,B,57.15,-3.77,1744,224,1087,1.39,13.15
Allt Cul,NE,4,AC,B,57.04,-3.35,13,145,513,-1.01,10.41
Ballochuie,NE,4,BB,B,56.98,-3.3,775,116,446,-1.69,9.46
Glen Tanar,NE,4,GT,B,57.02,-2.86,1564,235,1105,2.21,13.63
Cona Glen,SW,5,CG,C,56.79,-5.33,189,246,887,2.2,11.73
Crannach,SW,6,CR,C,56.58,-4.68,70,231,1019,1.81,12.62
Glen Loy,SW,5,GL,C,56.91,-5.13,74,191,541,0.49,9.8
Black Wood of Rannoch,SC,6,BW,C,56.68,-4.37,1011,254,1138,2.12,13.55
Coille Coire Chuilc,SC,6,CC,C,56.42,-4.71,67,226,928,1.64,12.32
Meggernie,SC,6,MG,C,56.58,-4.35,277,223,916,1.07,12.04
